accession_number,filing_date,report_date,form,primary_document,description,filing_url
0001326380-16-000283,2016-03-08,2016-03-07,4,xslF345X03/wf-form4_145747379454521.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000283/xslF345X03/wf-form4_145747379454521.xml
0001326380-16-000282,2016-03-08,2016-03-07,4,xslF345X03/wf-form4_145747378119042.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000282/xslF345X03/wf-form4_145747378119042.xml
0001326380-16-000281,2016-03-08,2016-03-07,4,xslF345X03/wf-form4_145747376381385.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000281/xslF345X03/wf-form4_145747376381385.xml
0001326380-16-000311,2016-03-09,2016-03-09,8-K,form8-kxdebtclosing2016.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000311/form8-kxdebtclosing2016.htm
0001326380-16-000309,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755897485327.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000309/xslF345X03/wf-form4_145755897485327.xml
0001326380-16-000308,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755896099669.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000308/xslF345X03/wf-form4_145755896099669.xml
0001326380-16-000307,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755894743547.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000307/xslF345X03/wf-form4_145755894743547.xml
0001326380-16-000306,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755893333315.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000306/xslF345X03/wf-form4_145755893333315.xml
0001326380-16-000305,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755891927665.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000305/xslF345X03/wf-form4_145755891927665.xml
0001326380-16-000304,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755890673587.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000304/xslF345X03/wf-form4_145755890673587.xml
0001326380-16-000303,2016-03-09,2016-03-07,4,xslF345X03/wf-form4_145755889267819.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000303/xslF345X03/wf-form4_145755889267819.xml
0001326380-16-000314,2016-03-24,2016-03-24,8-K,form8-kxq4fy15earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000314/form8-kxq4fy15earnings.htm
0001326380-16-000320,2016-03-28,2016-01-30,10-K,a10k-fy15q4.htm,10-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000320/a10k-fy15q4.htm
0001326380-16-000316,2016-03-28,2016-03-28,8-K,form8-kxregfdgeeknet.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000316/form8-kxregfdgeeknet.htm
0001326380-16-000323,2016-03-29,2016-01-30,10-K/A,a10ka-fy15q4.htm,10-K/A,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000323/a10ka-fy15q4.htm
0001326380-16-000325,2016-03-30,2016-03-29,4,xslF345X03/wf-form4_145936960142330.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000325/xslF345X03/wf-form4_145936960142330.xml
0001326380-16-000343,2016-04-11,2016-04-07,4,xslF345X03/wf-form4_146041405781209.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000343/xslF345X03/wf-form4_146041405781209.xml
0001326380-16-000342,2016-04-11,2016-04-07,4,xslF345X03/wf-form4_146041404454054.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000342/xslF345X03/wf-form4_146041404454054.xml
0001326380-16-000341,2016-04-11,2016-04-07,4,xslF345X03/wf-form4_146041402672805.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000341/xslF345X03/wf-form4_146041402672805.xml
0001326380-16-000340,2016-04-11,2016-04-07,4,xslF345X03/wf-form4_146041401048524.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000340/xslF345X03/wf-form4_146041401048524.xml
0001326380-16-000339,2016-04-11,2016-04-07,4,xslF345X03/wf-form4_146041399714624.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000339/xslF345X03/wf-form4_146041399714624.xml
0001326380-16-000338,2016-04-11,2016-04-07,4,xslF345X03/wf-form4_146041398367911.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000338/xslF345X03/wf-form4_146041398367911.xml
0001326380-16-000348,2016-04-22,2016-06-21,PRE 14A,gamestop2016preliminarypro.htm,PRE 14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000348/gamestop2016preliminarypro.htm
0001326380-16-000351,2016-05-02,2016-05-02,8-K,form8-kxfontaine.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000351/form8-kxfontaine.htm
0001326380-16-000355,2016-05-06,2016-06-21,DEF 14A,gamestop2016definitiveprox.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000355/gamestop2016definitiveprox.htm
0001326380-16-000358,2016-05-26,2016-05-24,8-K,form8-kxq1fy16earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000358/form8-kxq1fy16earnings.htm
0001326380-16-000361,2016-05-27,,SD,formsd.htm,SD,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000361/formsd.htm
0001326380-16-000366,2016-06-07,2016-04-30,10-Q,a10q-fy16q1.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000366/a10q-fy16q1.htm
0001326380-16-000390,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671451371830.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000390/xslF345X03/wf-form4_146671451371830.xml
0001326380-16-000389,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671448722691.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000389/xslF345X03/wf-form4_146671448722691.xml
0001326380-16-000388,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671446936260.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000388/xslF345X03/wf-form4_146671446936260.xml
0001326380-16-000387,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671444725478.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000387/xslF345X03/wf-form4_146671444725478.xml
0001326380-16-000386,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671442345157.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000386/xslF345X03/wf-form4_146671442345157.xml
0001326380-16-000385,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671440367164.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000385/xslF345X03/wf-form4_146671440367164.xml
0001326380-16-000384,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671422134580.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000384/xslF345X03/wf-form4_146671422134580.xml
0001326380-16-000383,2016-06-23,2016-06-21,4,xslF345X03/wf-form4_146671420427264.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000383/xslF345X03/wf-form4_146671420427264.xml
0001326380-16-000392,2016-06-24,2016-06-21,8-K,a2016annualmeeting.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000392/a2016annualmeeting.htm
0001326380-16-000394,2016-06-27,2016-06-23,4,xslF345X03/wf-form4_146706051666820.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000394/xslF345X03/wf-form4_146706051666820.xml
0000000000-16-084940,2016-07-19,,UPLOAD,filename1.pdf,,https://www.sec.gov/Archives/edgar/data/1326380/000000000016084940/filename1.pdf
0001326380-16-000397,2016-07-21,,CORRESP,filename1.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000397/filename1.htm
0001326380-16-000399,2016-08-15,,CORRESP,filename1.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000399/filename1.htm
0001326380-16-000402,2016-08-25,2016-08-22,8-K,form8-kxq2fy16earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000402/form8-kxq2fy16earnings.htm
0000000000-16-091517,2016-09-06,,UPLOAD,filename1.pdf,,https://www.sec.gov/Archives/edgar/data/1326380/000000000016091517/filename1.pdf
0001326380-16-000406,2016-09-07,2016-07-30,10-Q,a10q-fy16q2.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000406/a10q-fy16q2.htm
0001326380-16-000408,2016-09-16,2016-09-15,4,xslF345X03/wf-form4_147405655134060.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000408/xslF345X03/wf-form4_147405655134060.xml
0001326380-16-000410,2016-10-27,2016-10-26,4,xslF345X03/wf-form4_147760292948121.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000410/xslF345X03/wf-form4_147760292948121.xml
0001326380-16-000412,2016-11-02,2016-11-02,8-K,form8-kxfy16guidance.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000412/form8-kxfy16guidance.htm
0001326380-16-000415,2016-11-22,2016-11-21,8-K,form8-kxq3fy16earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000415/form8-kxq3fy16earnings.htm
0001326380-16-000419,2016-12-06,2016-10-29,10-Q,a10q-fy16q3.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000132638016000419/a10q-fy16q3.htm
0001326380-17-000003,2017-01-13,2017-01-13,8-K,form8-kxholidaysales2016.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000003/form8-kxholidaysales2016.htm
0001326380-17-000005,2017-01-17,2017-01-13,4,xslF345X03/wf-form4_148468894353171.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000005/xslF345X03/wf-form4_148468894353171.xml
0000353480-17-000697,2017-01-24,,SC 13G/A,gamestop.corp.clas.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000035348017000697/gamestop.corp.clas.txt
0001033427-17-000034,2017-02-02,,SC 13G,gamestop13g12312016.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000103342717000034/gamestop13g12312016.htm
0001193125-17-038421,2017-02-10,,SC 13G/A,d335609dsc13ga.htm,AMENDMENT NO. 2 TO SCHEDULE 13G,https://www.sec.gov/Archives/edgar/data/1326380/000119312517038421/d335609dsc13ga.htm
0001532155-17-000086,2017-02-10,,SC 13G/A,SEC13G_Filing.htm,SEC SCHEDULE 13G,https://www.sec.gov/Archives/edgar/data/1326380/000153215517000086/SEC13G_Filing.htm
0000932471-17-002525,2017-02-13,,SC 13G/A,gamestopcorp.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000093247117002525/gamestopcorp.htm
0000315066-17-001695,2017-02-14,,SC 13G/A,filing.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000031506617001695/filing.txt
0001326380-17-000008,2017-02-28,2017-02-27,4,xslF345X03/wf-form4_148832207594192.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000008/xslF345X03/wf-form4_148832207594192.xml
0001326380-17-000010,2017-03-01,2017-02-28,8-K,form8-kxdividend022817.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000010/form8-kxdividend022817.htm
0001326380-17-000012,2017-03-06,2017-02-28,8-K,a8-k030617xchangeinbylaws.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000012/a8-k030617xchangeinbylaws.htm
0001326380-17-000028,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892877603544.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000028/xslF345X03/wf-form4_148892877603544.xml
0001326380-17-000026,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892857402723.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000026/xslF345X03/wf-form4_148892857402723.xml
0001326380-17-000024,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892846047654.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000024/xslF345X03/wf-form4_148892846047654.xml
0001326380-17-000022,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892827750840.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000022/xslF345X03/wf-form4_148892827750840.xml
0001326380-17-000020,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892807438113.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000020/xslF345X03/wf-form4_148892807438113.xml
0001326380-17-000018,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892793733726.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000018/xslF345X03/wf-form4_148892793733726.xml
0001326380-17-000016,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892776244882.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000016/xslF345X03/wf-form4_148892776244882.xml
0001326380-17-000014,2017-03-07,2017-03-03,4,xslF345X03/wf-form4_148892761018048.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000014/xslF345X03/wf-form4_148892761018048.xml
0001326380-17-000038,2017-03-08,2017-03-06,4,xslF345X03/wf-form4_148901104264698.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000038/xslF345X03/wf-form4_148901104264698.xml
0001326380-17-000036,2017-03-08,2017-03-06,4,xslF345X03/wf-form4_148901093495950.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000036/xslF345X03/wf-form4_148901093495950.xml
0001326380-17-000034,2017-03-08,2017-03-06,4,xslF345X03/wf-form4_148901083307028.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000034/xslF345X03/wf-form4_148901083307028.xml
0001326380-17-000032,2017-03-08,2017-03-06,4,xslF345X03/wf-form4_148901069503072.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000032/xslF345X03/wf-form4_148901069503072.xml
0001326380-17-000030,2017-03-08,2017-03-06,4,xslF345X03/wf-form4_148901051651797.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000030/xslF345X03/wf-form4_148901051651797.xml
0001326380-17-000043,2017-03-23,2017-03-23,8-K,form8-kxq4fy16earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000043/form8-kxq4fy16earnings.htm
0001326380-17-000046,2017-03-27,2017-01-28,10-K,a10k-fy16q4.htm,"FORM 10-K FOR THE FISCAL YEAR ENDED JANUARY 28, 2017",https://www.sec.gov/Archives/edgar/data/1326380/000132638017000046/a10k-fy16q4.htm
0001326380-17-000060,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133904219669.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000060/xslF345X03/wf-form4_149133904219669.xml
0001326380-17-000059,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133899855507.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000059/xslF345X03/wf-form4_149133899855507.xml
0001326380-17-000058,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133893824923.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000058/xslF345X03/wf-form4_149133893824923.xml
0001326380-17-000057,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133887211738.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000057/xslF345X03/wf-form4_149133887211738.xml
0001326380-17-000056,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133882064403.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000056/xslF345X03/wf-form4_149133882064403.xml
0001326380-17-000055,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133875900079.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000055/xslF345X03/wf-form4_149133875900079.xml
0001326380-17-000054,2017-04-04,2017-03-31,4,xslF345X03/wf-form4_149133871686822.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000054/xslF345X03/wf-form4_149133871686822.xml
0001326380-17-000065,2017-04-28,2017-06-27,PRE 14A,gme_pre14a2017.htm,PRE 14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000065/gme_pre14a2017.htm
0001326380-17-000069,2017-05-12,,DEFA14A,gme_defa14a2017.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000069/gme_defa14a2017.htm
0001326380-17-000068,2017-05-12,2017-06-27,DEF 14A,gme_def14a2017.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000068/gme_def14a2017.htm
0001326380-17-000071,2017-05-25,2017-05-23,8-K,form8-kxq1fy17earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000071/form8-kxq1fy17earnings.htm
0001326380-17-000075,2017-05-26,,SD,formsd2016filed2017.htm,CONFLICT MINERAL DISCLOSURE AND REPORT,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000075/formsd2016filed2017.htm
0001326380-17-000078,2017-06-06,2017-04-29,10-Q,a10q-fy17q1.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000078/a10q-fy17q1.htm
0001326380-17-000095,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149878458310422.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000095/xslF345X03/wf-form4_149878458310422.xml
0001326380-17-000093,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876998656318.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000093/xslF345X03/wf-form4_149876998656318.xml
0001326380-17-000091,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876985895568.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000091/xslF345X03/wf-form4_149876985895568.xml
0001326380-17-000089,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876971295930.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000089/xslF345X03/wf-form4_149876971295930.xml
0001326380-17-000087,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876957744333.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000087/xslF345X03/wf-form4_149876957744333.xml
0001326380-17-000085,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876947259076.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000085/xslF345X03/wf-form4_149876947259076.xml
0001326380-17-000083,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876928652518.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000083/xslF345X03/wf-form4_149876928652518.xml
0001326380-17-000081,2017-06-29,2017-06-27,4,xslF345X03/wf-form4_149876914951533.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000081/xslF345X03/wf-form4_149876914951533.xml
0001326380-17-000097,2017-06-30,2017-06-27,8-K,a2017annualmtgvotingresults.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000097/a2017annualmtgvotingresults.htm
0001326380-17-000102,2017-08-24,2017-08-24,8-K,form8-kxq2fy17earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000102/form8-kxq2fy17earnings.htm
0001326380-17-000106,2017-09-06,2017-07-29,10-Q,a10q-fy17q2.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000106/a10q-fy17q2.htm
0001326380-17-000108,2017-11-14,2017-11-13,8-K,form8-knovember142017.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000108/form8-knovember142017.htm
0001326380-17-000116,2017-11-21,2017-11-21,8-K,form8-kxq3fy17earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000116/form8-kxq3fy17earnings.htm
0001326380-17-000115,2017-11-21,2017-11-20,8-K,a8-kxfy2017amendedrevolver.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000115/a8-kxfy2017amendedrevolver.htm
0001326380-17-000124,2017-11-28,2017-11-27,4,xslF345X03/wf-form4_151190973477397.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000124/xslF345X03/wf-form4_151190973477397.xml
0001326380-17-000127,2017-12-05,2017-10-28,10-Q,a10q-fy17q3.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000127/a10q-fy17q3.htm
0001326380-17-000130,2017-12-21,2017-11-13,8-K/A,form8-kdandcomp.htm,8-K/A,https://www.sec.gov/Archives/edgar/data/1326380/000132638017000130/form8-kdandcomp.htm
0001326380-18-000003,2018-01-12,2018-01-10,8-K,form8-kxholidaysales2017.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000003/form8-kxholidaysales2017.htm
0000215457-18-002908,2018-01-25,,SC 13G/A,us36467w1099_012418.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000021545718002908/us36467w1099_012418.txt
0001326380-18-000005,2018-02-02,2018-01-31,4,xslF345X03/wf-form4_151761142687018.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000005/xslF345X03/wf-form4_151761142687018.xml
0001326380-18-000007,2018-02-05,2018-01-31,8-K,form8-kfebruary52018.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000007/form8-kfebruary52018.htm
0001326380-18-000010,2018-02-06,2018-02-04,8-K,form8-kfebruary62018.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000010/form8-kfebruary62018.htm
0001033427-18-000023,2018-02-06,,SC 13G/A,gamestop13ga112312017.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000103342718000023/gamestop13ga112312017.htm
0001258897-18-001558,2018-02-09,,SC 13G,dfs702.htm,SCHEDULE 13G,https://www.sec.gov/Archives/edgar/data/1326380/000125889718001558/dfs702.htm
0001326380-18-000012,2018-02-09,2018-02-07,8-K,form8-kfebruary92018.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000012/form8-kfebruary92018.htm
0000932471-18-004904,2018-02-12,,SC 13G/A,gamestopcorp.htm,,https://www.sec.gov/Archives/edgar/data/1326380/000093247118004904/gamestopcorp.htm
0000315066-18-001270,2018-02-13,,SC 13G/A,filing.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000031506618001270/filing.txt
0001326380-18-000024,2018-02-27,2017-08-29,4,xslF345X03/wf-form4_151976787863552.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000024/xslF345X03/wf-form4_151976787863552.xml
0001326380-18-000022,2018-02-27,2018-02-23,4,xslF345X03/wf-form4_151976755852993.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000022/xslF345X03/wf-form4_151976755852993.xml
0001326380-18-000020,2018-02-27,2018-02-23,4,xslF345X03/wf-form4_151976705906737.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000020/xslF345X03/wf-form4_151976705906737.xml
0001326380-18-000018,2018-02-27,2018-02-23,4,xslF345X03/wf-form4_151976676295709.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000018/xslF345X03/wf-form4_151976676295709.xml
0001326380-18-000015,2018-02-27,2018-02-23,4,xslF345X03/wf-form4_151976626227405.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000015/xslF345X03/wf-form4_151976626227405.xml
0001326380-18-000014,2018-02-27,2018-02-20,3,xslF345X02/wf-form3_151976616582371.xml,FORM 3,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000014/xslF345X02/wf-form3_151976616582371.xml
0001326380-18-000026,2018-03-06,2018-03-01,8-K,form8-kxamendmentstoemplag.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000026/form8-kxamendmentstoemplag.htm
0001326380-18-000028,2018-03-08,2018-03-06,4,xslF345X03/wf-form4_152054402861427.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000028/xslF345X03/wf-form4_152054402861427.xml
0001326380-18-000030,2018-03-28,2018-03-28,8-K,form8-kxq4fy17earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000030/form8-kxq4fy17earnings.htm
0001326380-18-000033,2018-04-02,2018-02-03,10-K,a10k-fy17q4.htm,"10-K FOR THE FISCAL YEAR ENDED FEBRUARY 3, 2018",https://www.sec.gov/Archives/edgar/data/1326380/000132638018000033/a10k-fy17q4.htm
0001326380-18-000035,2018-04-11,2018-04-09,4,xslF345X03/wf-form4_152347730501852.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000035/xslF345X03/wf-form4_152347730501852.xml
0001326380-18-000045,2018-04-16,2018-04-12,4,xslF345X03/wf-form4_152391356975928.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000045/xslF345X03/wf-form4_152391356975928.xml
0001326380-18-000043,2018-04-16,2018-04-12,4,xslF345X03/wf-form4_152391341924925.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000043/xslF345X03/wf-form4_152391341924925.xml
0001326380-18-000041,2018-04-16,2018-04-12,4,xslF345X03/wf-form4_152391325751124.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000041/xslF345X03/wf-form4_152391325751124.xml
0001326380-18-000039,2018-04-16,2018-04-12,4,xslF345X03/wf-form4_152391311965934.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000039/xslF345X03/wf-form4_152391311965934.xml
0001326380-18-000037,2018-04-16,2018-04-12,4,xslF345X03/wf-form4_152391297638537.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000037/xslF345X03/wf-form4_152391297638537.xml
0001326380-18-000048,2018-05-11,2018-05-09,8-K,form8-kmay112018.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000048/form8-kmay112018.htm
0001326380-18-000053,2018-05-16,,DEFA14A,defa14a1.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000053/defa14a1.htm
0001326380-18-000052,2018-05-16,2018-06-26,DEF 14A,a2018defproxystatement.htm,DEF 14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000052/a2018defproxystatement.htm
0001326380-18-000056,2018-05-30,,SD,formsd2017reportfiledin2018.htm,CONFLICT MINERAL DISCLOSURE AND REPORT,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000056/formsd2017reportfiledin2018.htm
0001326380-18-000064,2018-05-31,,DEFA14A,defa14a531.htm,DEFA14A,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000064/defa14a531.htm
0001326380-18-000063,2018-05-31,2018-05-31,8-K,form8-kxq1fy18earnings.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000063/form8-kxq1fy18earnings.htm
0001326380-18-000067,2018-06-04,2018-06-04,8-K,form8-kjune42018.htm,8-K,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000067/form8-kjune42018.htm
0001326380-18-000073,2018-06-06,2018-06-04,4,xslF345X03/wf-form4_152831931219395.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1326380/000132638018000073/xslF345X03/wf-form4_152831931219395.xml
